category,domain,length_category,model_family,model,attention,attention_backend,flash_attn_version,chunk_size,overlap,segmentation_method,top_k,embedding_model,query_strategy,num_chunks,context_tokens,latency,gpu_peak_gb,throughput_docs_per_hour,seed,n_samples,model_commit_hash,tokenizer_version,rougeL,bertscore_f1
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,19,3014,1.8977200984954834,2.342801570892334,1897.013159556084,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.20149253731343283,0.8475627899169922
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,21,2760,1.7893660068511963,3.304152011871338,2011.885766364274,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.30656934306569344,0.8652374744415283
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,21,3055,4.877877712249756,3.4095940589904785,738.0258818213838,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.1580547112462006,0.7772201299667358
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,17,3064,3.569669485092163,3.3803277015686035,1008.4967291886559,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.2185792349726776,0.8455005288124084
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,22,2341,2.3118157386779785,3.189736843109131,1557.2175324226641,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.23728813559322035,0.8529603481292725
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,18,3072,2.5262563228607178,3.3800559043884277,1425.0335436759565,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.21428571428571427,0.8429903984069824
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,24,2902,2.5472207069396973,3.363712787628174,1413.3050937408332,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.32,0.8749293088912964
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,28,3038,3.7665891647338867,3.382833957672119,955.771878097659,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.441025641025641,0.8979789614677429
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,17,3072,2.434755563735962,3.3800559043884277,1478.5878523575698,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.24888888888888888,0.8620983958244324
arxiv_extra_long,arxiv,extra_long,BigBird-Pegasus,google/bigbird-pegasus-large-arxiv,default,block_sparse,,1024,0,fixed,3,BAAI/bge-base-en-v1.5,first_tokens,18,3069,1.864286184310913,3.372704029083252,1931.033995904792,42,60,c5ae494f3d319933617d513f8491c5be87f5d35b,4.57.1,0.20320855614973266,0.8478719592094421
