category,domain,length_category,model_family,model,attention,attention_backend,flash_attn_version,window,overlap,global_tokens,latency,gpu_peak_gb,throughput_docs_per_hour,seed,n_samples,model_commit_hash,tokenizer_version,rougeL,bertscore_f1
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,2.4829165935516357,2.4503417015075684,1449.9077453304446,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.10326086956521739,0.7654451131820679
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.8371713161468506,3.4461770057678223,1959.5341862567166,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.06142857142857143,0.7890169024467468
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.9824724197387695,4.148077487945557,1815.914291748065,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.07349896480331264,0.8229259252548218
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.9190919399261475,3.621652126312256,1875.887197013885,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.06918238993710692,0.820177435874939
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.772352695465088,2.9197516441345215,2031.1984229839277,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.09016999260901701,0.8252356052398682
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.8310825824737549,3.2707018852233887,1966.050048456293,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.10632344711807497,0.8168745636940002
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.799727439880371,3.095226764678955,2000.3028904417295,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.11037891268533774,0.782267153263092
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.7383205890655518,2.9197516441345215,2070.9643679335404,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.1702127659574468,0.824521541595459
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.8503921031951904,3.4461770057678223,1945.5335946276737,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.08173076923076923,0.7922383546829224
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.8475239276885986,3.4461770057678223,1948.5539245512723,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.08086253369272238,0.815549373626709
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.9003949165344238,3.621652126312256,1894.3431013617896,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.05190102595051298,0.7966710925102234
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.8522112369537354,3.4461770057678223,1943.6228050968903,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.09250585480093676,0.793666660785675
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.8266303539276123,3.2707018852233887,1970.8420985446214,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.08367707719505009,0.7790487408638
arxiv_long,arxiv,long,LED,allenai/led-base-16384,default,eager,,1024,0,0,1.8122735023498535,3.2707018852233887,1986.4551323694361,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.09071274298056156,0.8300979137420654
